-135,-90,0,356,181,-143,-115,-86
-143,-115,-86,340,196,-143,-115,-86
-143,-115,-86,335,234,-143,-115,-86
-143,-115,-86,338,248,-143,-115,-86
-143,-115,-86,289,143,-143,-115,-86
-143,-115,-86,192,47,-142,-113,-85
-142,-113,-85,178,49,-143,-114,-85
-143,-114,-85,157,57,-143,-115,-86
-143,-115,-86,142,76,-143,-115,-86
-143,-115,-86,129,107,-143,-115,-86
-143,-115,-86,118,134,-143,-115,-86
-143,-115,-86,169,85,-143,-115,-86
-143,-115,-86,211,50,-143,-115,-86
-143,-115,-86,231,40,-138,-109,-81
-138,-109,-81,314,34,-123,-94,-65
-123,-94,-65,372,52,-143,-115,-86
-143,-115,-86,421,95,-143,-115,-86
-143,-115,-86,230,42,-140,-111,-82
-140,-111,-82,215,46,-143,-114,-85
-143,-114,-85,219,33,-134,-105,-76
-134,-105,-76,209,33,-134,-105,-77
-134,-105,-77,232,28,-130,-101,-73
-130,-101,-73,239,24,-127,-99,-70
-127,-99,-70,267,24,-124,-95,-67
-124,-95,-67,284,27,-123,-95,-66
-123,-95,-66,304,28,-120,-91,-63
-120,-91,-63,309,27,-118,-90,-61
-118,-90,-61,322,23,-113,-84,-55
-113,-84,-55,334,25,-111,-82,-53
-111,-82,-53,353,25,-105,-77,-48
-105,-77,-48,370,33,-104,-75,-46
-104,-75,-46,385,41,-102,-74,-45
-102,-74,-45,401,55,-105,-76,-47
-105,-76,-47,413,63,-105,-76,-47
-105,-76,-47,368,33,-104,-76,-47
-104,-76,-47,381,23,-96,-67,-39
-96,-67,-39,399,23,-90,-62,-33
-90,-62,-33,442,36,-80,-51,-22
-80,-51,-22,473,44,-71,-43,-14
-71,-43,-14,506,63,-63,-34,-6
-63,-34,-6,550,87,-51,-22,7
-51,-22,7,567,103,-46,-17,11
-46,-17,11,586,133,-40,-11,17
-40,-11,17,588,163,-38,-9,19
-38,-9,19,590,191,-36,-7,22
-36,-7,22,590,210,-34,-5,23
-34,-5,23,584,233,-34,-6,23
-34,-6,23,584,240,-33,-5,24
-33,-5,24,584,252,-32,-3,25
-32,-3,25,572,225,-41,-12,17
